Frame,Vehicle_Count,Average_Speed_kmph,Queue_Length_meters,Congestion_Level,Traffic_Density_vehicles_per_meter
frame_0.jpg,13,0.0,27.80092926025391,High,0.46761026864615207
frame_10.jpg,13,21.012969766070665,28.440758514404298,High,0.45709048137432523
frame_100.jpg,16,102.4602861322152,25.301515197753908,High,0.6323731948440925
frame_1000.jpg,7,1017.8011227808366,12.967451858520509,Medium,0.5398130701677152
frame_1010.jpg,11,25.037088574057574,17.075737380981447,Medium,0.6441888718815469
frame_1020.jpg,8,39.59173263990664,17.40602035522461,Medium,0.4596110906878672
frame_1030.jpg,7,55.20807524206439,17.509022140502932,Medium,0.39979388590795
frame_1040.jpg,10,77.76068928291794,18.38078002929688,Medium,0.5440465521082964
frame_1050.jpg,14,35.77053661616156,17.90340919494629,Medium,0.7819739719713199
frame_1060.jpg,10,46.337628748203024,18.014647674560543,Medium,0.5551038344270002
frame_1070.jpg,17,27.401210195431776,18.470115661621094,Medium,0.9204057143683276
frame_1080.jpg,14,60.17252644150001,17.273564910888673,Medium,0.8104870113507879
frame_1090.jpg,15,23.404555366016943,18.13181762695313,Medium,0.8272750315832842
frame_110.jpg,17,1056.6665758308927,26.204307556152344,High,0.6487483007734992
frame_1100.jpg,12,927.0894147367918,18.210911560058594,Medium,0.6589455975569731
frame_1110.jpg,9,55.24284396297716,18.39634017944336,Medium,0.4892277437909568
frame_1120.jpg,14,17.954302870926046,18.30906753540039,Medium,0.7646484438888624
frame_1130.jpg,16,49.04315989233275,18.347962188720704,Medium,0.8720314460772053
frame_1140.jpg,11,55.59444904273676,18.43107070922852,Medium,0.5968182843817234
frame_1150.jpg,15,26.756933665389543,18.49748039245605,Medium,0.8109212542329575
frame_1160.jpg,13,42.502922230794326,18.68843765258789,Medium,0.6956172710456521
frame_1170.jpg,18,24.26960879979335,18.686536407470705,Medium,0.9632603713978674
frame_1180.jpg,16,26.776712692713776,18.71239776611328,Medium,0.8550480916440744
frame_1190.jpg,14,31.18093949940745,19.06791458129883,Medium,0.7342176796685848
frame_120.jpg,11,1109.6137709061811,26.125672149658204,High,0.42104179892435456
frame_1200.jpg,14,957.098164220246,18.85951385498047,Medium,0.74233090564542
frame_1210.jpg,15,26.42899001873977,18.89627494812012,Medium,0.7938072472581302
frame_1220.jpg,13,26.83545006037748,19.956208801269533,Medium,0.6514263370091113
